,restaurant_name,rest_website,michelin_rated
0,Eleven Madison Park,https://www.elevenmadisonpark.com/,True
1,Masa,http://www.masanyc.com/,True
2,Per Se,https://www.thomaskeller.com/new-york-new-york/per-se/map-directions,True
3,Le Bernardin,https://www.le-bernardin.com/about,True
4,The Chef’s Table at Brooklyn Fare,https://www.brooklynfare.com/pages/chefs-table,True
5,Jean-Georges,https://www.jean-georges.com/,True
6,website,https://www.jean-georges.com/recipes/winter/chewy-gingerbread-cookies,True
7,L’Atelier de Joël Robuchon,https://www.joelrobuchonusa.com/,True
8,Ichimura at Uchu,http://uchu.nyc/sushi/,True
9,Marea,https://www.marea-nyc.com/,True
10,Blanca,http://blancanyc.com/,True
11,Atera,http://ateranyc.com/,True
12,Aska,http://askanyc.com/,True
13,Daniel,https://www.danielnyc.com/,True
14,Momofuku Ko,https://ko.momofuku.com/,True
15, Gabriel Kreuther,https://www.gknyc.com/reservations/,True
16,The Modern,https://www.themodernnyc.com/,True
17,Aquavit,https://www.instagram.com/aquavitnyc/,True
18,Jungsik,http://jungsik.com/,True
19,Sushi Ginza Onodera,https://www.sushiginzaonoderanewyork.com/,True
20,Sushi Inoue,http://sushiinoue.com/,True
21,Oxomoco,https://secretnyc.co/vibes-airy-mexican-restaurant-brooklyn-weve-looking/,True
22,Gunter Seeger NY,http://www.gunterseegerny.com/,True
23,Le Grill de Joël Robuchon,https://www.joel-robuchon.com/en/restaurants-nyc-grill.php,True
24,Nix,http://www.nixny.com/,True
25,Cafe Boulud,https://www.cafeboulud.com/nyc/,True
26,L’Appart,https://www.lappartnyc.com/,True
27,Bouley at Home,https://davidbouley.com/,True
28,Caviar Russe,https://www.caviarrusse.com/restaurant,True
29,Casa Mono,https://casamononyc.com/,True
30,Carbone,https://carbonenewyork.com/,True
31,Satsuki (Suzuki’s sushi bar),https://www.satsuki.nyc/,True
32,Agern,http://agernrestaurant.com/,True
33,Contra,http://contranyc.com/,True
34,Sushi Amane,https://www.sushi-amane.com/,True
35,Jeju Noodle Bar,https://jejunoodlebar.com/,True
36,The Clocktower,https://theclocktowernyc.com/menus/dinner/,True
37,"ZZ’s Clam Bar,",https://zzsclambar.com/,True
38,Uncle Boons,http://www.uncleboons.com/,True
39,Kosaka,http://kosakanyc.com/,True
40,Casa Enrique,https://henrinyc.com/casa-enrique/our-menu/,True
41,Sushi Yasuda,https://www.sushiyasuda.com/,True
42,Meadowsweet,http://www.meadowsweetnyc.com/,True
43,Kanoyama,http://www.kanoyama.com/,True
44,Faro,http://farobk.com/,True
45,Ai Fiori,https://aifiorinyc.com/,True
46,Café China,http://www.cafechinanyc.com/,True
47,Jewel Bako,http://www.jewelbakosushi.com/,True
48,Aldea,http://www.aldearestaurant.com/,True
49,Claro,https://www.clarobk.com/,True
50,Le Coucou,https://lecoucou.com/,True
51,Del Posto,https://delposto.com/,True
52,Sushi Nakazawa,https://sushinakazawa.com/,True
53,Kajitsu,http://www.kajitsunyc.com/,True
54,Cote Korean Steakhouse,https://www.cotenyc.com/,True
55,Tempura Matsui,https://www.tempuramatsui.com/,True
56,The NoMad Restaurant,https://www.thenomadhotel.com/new-york/dining,True
57,The River Café,https://rivercafe.com/,True
58,Peter Luger Steak House,https://peterluger.com/,True
59,Hirohisa,https://hirohisa-nyc.com/,True
60,Noda,https://www.noda.nyc/,True
61,Tuome,http://www.tuomenyc.com/,True
62,Blue Hill,https://www.bluehillfarm.com/,True
63,Atomix,https://www.atomixnyc.com/,True
64,Babbo,https://www.babbonyc.com/,True
65,Gotham Bar and Grill,https://gothambarandgrill.com/,True
66,Gramercy Tavern,https://www.gramercytavern.com/,True
67,The Musket Room,https://www.musketroom.com/,True
68,Bar Uchu,http://uchu.nyc/,True
69,Bâtard,http://www.batardtribeca.com/,True
70,The Finch,http://www.thefinchnyc.com/,True
71,Sushi Noz,https://www.sushinoz.com/,True
72,Wallsé,https://www.kurtgutenbrunner.com/restaurants/wallse/,True
73, Junoon,http://junoonnyc.com/,True
74,Okuda New York,https://www.okuda.nyc/,True
